projectId,job_title,job_description,tags,client_state,client_country,client_average_rating,client_review_count,min_price,max_price,avg_price,currency,rate_type,job_scope,skill_level,work_environment
70,Repair broken door,Bedroom door hinge broken and door won't close properly. Very urgent - need ASAP.,"['carpentry', 'wood', 'construction']",Manila,Philippines,4.8,11,1274,2122,1698,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,BOTH
90,Window cleaning high-rise,Clean exterior windows condo unit. Price is negotiable.,"['cleaning', 'maintenance']",Las Pinas City,Philippines,4.9,27,3593,6696,5144,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,BOTH
11,Septic tank pumping,Need septic tank emptied and cleaned. Please message for viewing.,"['fixtures', 'water', 'pipes', 'plumbing']",Navotas City,Philippines,3.8,21,1135,1710,1422,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,OUTDOOR
391,Storage unit move,Move contents of storage unit.,"['relocation', 'hauling', 'delivery']",Cebu City,Philippines,3.6,27,1193,1656,1424,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,BOTH
197,Steel trusses,Weld steel trusses for roof extension.,"['metal', 'fabrication']",Manila,Philippines,5.0,34,932,1238,1085,PHP,fixed,MINOR_REPAIR,EXPERT,OUTDOOR
228,Fix squeaky floor,Multiple floor boards squeaking. Price is negotiable.,"['home improvement', 'maintenance', 'handyman']",Pasay City,Philippines,5.0,16,1093,1915,1504,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,OUTDOOR
227,Replace ceiling tiles,Several ceiling tiles water damaged. Need experienced professional.,"['maintenance', 'home improvement', 'repair', 'handyman']",Makati City,Philippines,4.3,20,22443,48698,35570,PHP,fixed,MAJOR_RENOVATION,EXPERT,INDOOR
412,Same day moving,Emergency same day moving service. First time homeowner.,"['delivery', 'moving', 'relocation']",Mandaluyong City,Philippines,4.1,24,35473,59933,47703,PHP,fixed,MAJOR_RENOVATION,EXPERT,OUTDOOR
386,Preventive treatment,Annual preventive pest treatment. Can be scheduled for next week.,"['treatment', 'extermination']",Makati City,Philippines,4.6,24,975,1188,1081,PHP,fixed,MINOR_REPAIR,ENTRY,INDOOR
362,Wood treatment,Treat wooden structures for termites. Can be scheduled for next week.,"['pest control', 'prevention', 'treatment']",Davao City,Philippines,3.7,30,1330,1906,1618,PHP,fixed,MINOR_REPAIR,ENTRY,BOTH
30,Complete house rewiring,Full house electrical rewiring. Old wires need replacement. Already have the materials.,"['wiring', 'electrical', 'installation', 'power']",San Juan City,Philippines,4.9,40,10145,13726,11935,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,OUTDOOR
46,Electrical panel upgrade,Need to upgrade from 30amp to 60amp breaker panel. Already have the materials.,"['wiring', 'power', 'installation', 'electrical']",Manila,Philippines,5.0,4,3902,5511,4706,PHP,fixed,MODERATE_PROJECT,EXPERT,OUTDOOR
265,Repair oven,Electric oven not reaching temperature. Need to purchase materials.,"['electronics', 'appliance']",Mandaluyong City,Philippines,3.9,16,689,1114,901,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,OUTDOOR
490,Security gate,Install automatic security gate. Already have the materials.,"['CCTV', 'security', 'alarm', 'installation']",Makati City,Philippines,3.7,23,3166,4340,3753,PHP,fixed,MINOR_REPAIR,ENTRY,OUTDOOR
301,Fix sagging roof,Roof section is sagging. Need reinforcement. Need to purchase materials.,"['repair', 'roofing']",Quezon City,Philippines,3.5,13,9118,13032,11075,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,OUTDOOR
340,Marble polishing,Polish and restore marble floors. Need experienced professional.,"['flooring', 'tiles', 'installation', 'refinishing']",Muntinlupa City,Philippines,4.9,30,74739,143949,109344,PHP,fixed,MAJOR_RENOVATION,EXPERT,OUTDOOR
431,Deck demolition,Remove old wooden deck.,"['hauling', 'teardown', 'demolition']",Valenzuela City,Philippines,3.6,33,9831,14431,12131,PHP,fixed,MODERATE_PROJECT,EXPERT,INDOOR
445,Filter cleaning,Clean pool filter system. First time homeowner.,"['cleaning', 'maintenance', 'pool']",Las Pinas City,Philippines,4.0,14,1680,2688,2184,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,BOTH
302,Flashing repair,Repair damaged roof flashing. Need experienced professional.,"['waterproofing', 'installation', 'repair']",Davao City,Philippines,4.5,25,961,1191,1076,PHP,fixed,MINOR_REPAIR,EXPERT,INDOOR
495,Intercom system,Install door intercom with camera. Already have the materials.,"['security', 'CCTV']",Makati City,Philippines,4.6,28,4846,7536,6191,PHP,fixed,MINOR_REPAIR,ENTRY,BOTH
344,Laminate flooring,Install laminate flooring in living room.,"['installation', 'tiles', 'flooring', 'refinishing']",Pasay City,Philippines,3.6,39,1855,2240,2047,PHP,fixed,MINOR_REPAIR,ENTRY,OUTDOOR
107,Office cleaning,Daily office cleaning service for office space. Need experienced professional.,"['housekeeping', 'sanitization', 'cleaning', 'maintenance']",Antipolo City,Philippines,4.0,43,6877,14952,10914,PHP,fixed,MAJOR_RENOVATION,INTERMEDIATE,INDOOR
257,Fix TV,LCD TV has lines on screen. Need to purchase materials.,"['appliance', 'repair']",Mandaluyong City,Philippines,3.8,8,449,722,585,PHP,fixed,MINOR_REPAIR,ENTRY,BOTH
333,Weed control,Clear overgrown weeds from yard. Need experienced professional.,"['garden', 'landscaping', 'outdoor']",Pasay City,Philippines,5.0,29,1332,2018,1675,PHP,fixed,MINOR_REPAIR,ENTRY,BOTH
137,Central AC installation,Install central air conditioning for house. First time homeowner.,"['aircon', 'ventilation', 'cooling']",Makati City,Philippines,3.8,46,9895,19765,14830,PHP,fixed,MODERATE_PROJECT,EXPERT,INDOOR
255,Fix electric fan,Electric fan not rotating. Motor issue. First time homeowner.,"['maintenance', 'appliance', 'repair']",Malabon City,Philippines,4.8,8,10061,17770,13915,PHP,fixed,MAJOR_RENOVATION,EXPERT,INDOOR
277,Repair refrigerator,Refrigerator not cooling. Compressor running. Price is negotiable.,"['maintenance', 'electronics', 'repair']",Zamboanga City,Philippines,4.7,37,4129,7004,5566,PHP,fixed,MODERATE_PROJECT,ENTRY,BOTH
132,Refrigerant recharge,Aircon needs freon recharge. Low cooling. Can be scheduled for next week.,"['HVAC', 'aircon', 'ventilation', 'cooling']",Las Pinas City,Philippines,4.4,29,1666,2996,2331,PHP,fixed,MINOR_REPAIR,ENTRY,BOTH
355,Underlayment install,Install subfloor underlayment. Very urgent - need ASAP.,"['flooring', 'refinishing', 'tiles']",Valenzuela City,Philippines,4.1,36,64626,117728,91177,PHP,fixed,MAJOR_RENOVATION,EXPERT,OUTDOOR
183,Hollow block laying,Lay hollow blocks for room addition. Need to purchase materials.,"['construction', 'concrete', 'tiles']",Davao City,Philippines,4.5,47,1553,2203,1878,PHP,fixed,MINOR_REPAIR,ENTRY,BOTH
497,Safe installation,Install wall safe. Need to purchase materials.,"['security', 'installation', 'alarm', 'CCTV']",Manila,Philippines,5.0,31,11763,23366,17564,PHP,fixed,MODERATE_PROJECT,EXPERT,BOTH
81,Complete house framing,Full house wood framing for extension. Need experienced professional.,"['carpentry', 'construction', 'furniture']",Paranaque City,Philippines,4.3,5,601,859,730,PHP,fixed,MINOR_REPAIR,ENTRY,INDOOR
21,Install bidet spray,Need to install bidet spray attachment to existing toilet. Price is negotiable.,"['water', 'pipes', 'fixtures']",San Juan City,Philippines,3.9,9,27498,45805,36651,PHP,fixed,MAJOR_RENOVATION,INTERMEDIATE,OUTDOOR
430,Shed demolition,Tear down old storage shed. Need experienced professional.,"['teardown', 'removal']",Pasay City,Philippines,4.9,7,6743,13347,10045,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,OUTDOOR
369,Preventive treatment,Annual preventive pest treatment. Need experienced professional.,"['prevention', 'treatment']",San Juan City,Philippines,3.9,33,19842,36226,28034,PHP,fixed,MAJOR_RENOVATION,INTERMEDIATE,INDOOR
32,Install solar panel wiring,Connect solar panel system to house electrical. Already have the materials.,"['installation', 'power', 'electrical']",Malabon City,Philippines,5.0,31,9797,18768,14282,PHP,fixed,MODERATE_PROJECT,EXPERT,BOTH
347,Concrete polishing,Polish concrete floors for industrial look. First time homeowner.,"['refinishing', 'tiles', 'installation']",Antipolo City,Philippines,4.6,21,1206,2033,1619,PHP,fixed,MINOR_REPAIR,EXPERT,BOTH
323,Garden design,Design and plant small garden. Please message for viewing.,"['plants', 'garden', 'landscaping', 'outdoor']",Marikina City,Philippines,3.7,49,4157,5889,5023,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,INDOOR
346,Laminate flooring,Install laminate flooring in living room. Please message for viewing.,"['refinishing', 'installation', 'tiles', 'flooring']",Pasig City,Philippines,3.8,34,7313,9739,8526,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,OUTDOOR
73,Build wooden deck,Build 3x4 meter wooden deck in backyard.,"['construction', 'wood']",Pasig City,Philippines,4.6,24,8356,14270,11313,PHP,fixed,MODERATE_PROJECT,EXPERT,BOTH
440,Deck demolition,Remove old wooden deck. Can be scheduled for next week.,"['hauling', 'removal', 'teardown', 'demolition']",Marikina City,Philippines,3.5,2,7964,10666,9315,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,OUTDOOR
267,Fix electric fan,Electric fan not rotating. Motor issue. Need to purchase materials.,"['electronics', 'maintenance', 'repair']",Antipolo City,Philippines,3.9,37,1211,1649,1430,PHP,fixed,MINOR_REPAIR,ENTRY,OUTDOOR
2,Replace toilet flush mechanism,"Toilet tank mechanism broken, need replacement. Can be scheduled for next week.","['fixtures', 'plumbing', 'pipes', 'water']",Manila,Philippines,4.8,5,5663,10424,8043,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,INDOOR
268,Repair refrigerator,Refrigerator not cooling. Compressor running. Can be scheduled for next week.,"['electronics', 'repair', 'maintenance', 'appliance']",San Juan City,Philippines,3.7,17,1239,1595,1417,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,BOTH
157,Exterior house painting,Paint exterior walls of 2-story house. Can be scheduled for next week.,"['finishing', 'repainting']",Zamboanga City,Philippines,4.4,9,8214,11020,9617,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,OUTDOOR
209,Install window grills,Weld and install security grills on 4 windows. Need experienced professional.,"['welding', 'fabrication', 'steel', 'metal']",Malabon City,Philippines,3.6,2,5269,8290,6779,PHP,fixed,MODERATE_PROJECT,EXPERT,OUTDOOR
402,Appliance moving,Move heavy appliances to new kitchen. First time homeowner.,"['delivery', 'relocation', 'moving']",Zamboanga City,Philippines,4.4,8,6446,11894,9170,PHP,fixed,MODERATE_PROJECT,ENTRY,INDOOR
3,Replace kitchen sink,Need to replace old kitchen sink with new stainless steel sink. Very urgent - need ASAP.,"['plumbing', 'pipes', 'fixtures']",Navotas City,Philippines,3.7,44,1168,1907,1537,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,BOTH
485,Camera upgrade,Upgrade to HD security cameras. Need to purchase materials.,"['security', 'installation', 'CCTV']",San Juan City,Philippines,4.5,8,60796,125761,93278,PHP,fixed,MAJOR_RENOVATION,EXPERT,OUTDOOR
422,Partial house demo,Demolish room for renovation.,"['teardown', 'demolition', 'removal', 'hauling']",Zamboanga City,Philippines,4.7,46,10820,20200,15510,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,BOTH
115,Duct cleaning,Clean HVAC ducts throughout the house. Need to purchase materials.,"['HVAC', 'aircon', 'cooling', 'ventilation']",Marikina City,Philippines,4.9,23,905,1531,1218,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,OUTDOOR
416,Piano moving,Move upright piano to new location. Price is negotiable.,"['relocation', 'hauling']",Makati City,Philippines,4.6,14,923,1152,1037,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,OUTDOOR
489,Security gate,Install automatic security gate. Please message for viewing.,"['security', 'CCTV', 'alarm', 'installation']",Navotas City,Philippines,4.0,32,2580,4158,3369,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,INDOOR
378,Mosquito fogging,Outdoor mosquito fogging service. Please message for viewing.,"['extermination', 'treatment']",Valenzuela City,Philippines,4.7,37,2109,3281,2695,PHP,fixed,MINOR_REPAIR,ENTRY,OUTDOOR
385,Fumigation,Complete house fumigation.,"['treatment', 'extermination', 'prevention', 'pest control']",Caloocan City,Philippines,4.4,11,5271,9699,7485,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,BOTH
1,Fix toilet leak,Toilet base is leaking water. Need to reseat and reseal. Already have the materials.,"['fixtures', 'water', 'pipes', 'plumbing']",Las Pinas City,Philippines,4.4,4,3406,4917,4161,PHP,fixed,MODERATE_PROJECT,EXPERT,INDOOR
56,Install wooden stairs,Build wooden staircase for 2-story house. Need experienced professional.,"['furniture', 'carpentry', 'wood']",Paranaque City,Philippines,3.6,17,10753,19591,15172,PHP,fixed,MODERATE_PROJECT,ENTRY,INDOOR
91,Move-out cleaning,Complete cleaning for rental unit turnover. Very urgent - need ASAP.,"['housekeeping', 'sanitization']",Pasay City,Philippines,4.6,14,808,1104,956,PHP,fixed,MINOR_REPAIR,ENTRY,BOTH
329,Outdoor lighting,Install landscape lighting. Price is negotiable.,"['garden', 'plants', 'outdoor']",Caloocan City,Philippines,4.9,36,8199,11829,10014,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,BOTH
437,Tile removal,Remove old floor tiles. Very urgent - need ASAP.,"['removal', 'teardown', 'hauling']",Cebu City,Philippines,4.5,28,6470,12251,9360,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,INDOOR
28,Install electrical outlet,Need to add 2 new electrical outlets in living room. Already have the materials.,"['electrical', 'power', 'wiring', 'installation']",Muntinlupa City,Philippines,4.5,23,850,1280,1065,PHP,fixed,MINOR_REPAIR,ENTRY,OUTDOOR
175,Repair cracked wall,Fix large crack in exterior concrete wall. Need to purchase materials.,"['concrete', 'masonry', 'tiles', 'construction']",Zamboanga City,Philippines,4.4,32,17393,32289,24841,PHP,fixed,MODERATE_PROJECT,EXPERT,BOTH
328,Tree removal,Remove large dead tree from yard. Can be scheduled for next week.,"['garden', 'landscaping', 'outdoor', 'plants']",Makati City,Philippines,4.2,27,1137,1750,1443,PHP,fixed,MINOR_REPAIR,ENTRY,BOTH
181,Tile installation,Install floor tiles in bathroom 6sqm. Price is negotiable.,"['tiles', 'construction', 'concrete', 'masonry']",Cebu City,Philippines,4.8,5,17346,27850,22598,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,BOTH
435,Shed demolition,Tear down old storage shed. Need to purchase materials.,"['removal', 'teardown', 'demolition', 'hauling']",San Juan City,Philippines,4.7,30,1128,1804,1466,PHP,fixed,MINOR_REPAIR,ENTRY,INDOOR
101,Carpet deep cleaning,Deep clean carpet in living and bedrooms. Already have the materials.,"['cleaning', 'maintenance', 'housekeeping']",Makati City,Philippines,4.3,45,1455,2372,1913,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,INDOOR
222,Carport construction,Build steel carport structure. Need experienced professional.,"['fabrication', 'welding']",Cebu City,Philippines,4.9,10,1931,3265,2598,PHP,fixed,MINOR_REPAIR,ENTRY,INDOOR
237,Install door stopper,Install door stoppers throughout house. Very urgent - need ASAP.,"['home improvement', 'handyman', 'repair']",Taguig City,Philippines,4.7,25,641,1075,858,PHP,fixed,MINOR_REPAIR,ENTRY,OUTDOOR
158,Interior full house paint,Complete interior repainting of house. Please message for viewing.,"['repainting', 'finishing', 'coating', 'painting']",Pasay City,Philippines,4.8,29,8091,11719,9905,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,INDOOR
189,Swimming pool construction,Build small swimming pool. Need experienced professional.,"['masonry', 'construction', 'concrete', 'tiles']",Caloocan City,Philippines,4.7,34,1686,2739,2212,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,INDOOR
493,CCTV installation,Install 4-camera CCTV system.,"['alarm', 'security']",Muntinlupa City,Philippines,4.1,24,3579,5696,4637,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,INDOOR
60,Furniture repair,Wooden chair needs leg repair and refinishing.,"['construction', 'wood', 'furniture']",San Juan City,Philippines,4.2,10,10024,16025,13024,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,BOTH
486,Safe installation,Install wall safe. Price is negotiable.,"['alarm', 'CCTV']",Valenzuela City,Philippines,4.0,24,4049,5966,5007,PHP,fixed,MINOR_REPAIR,ENTRY,BOTH
65,Repair broken door,Bedroom door hinge broken and door won't close properly. Please message for viewing.,"['construction', 'wood']",Muntinlupa City,Philippines,4.1,45,9870,17503,13686,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,INDOOR
438,Shed demolition,Tear down old storage shed. Price is negotiable.,"['removal', 'hauling']",San Juan City,Philippines,4.8,38,57675,120884,89279,PHP,fixed,MAJOR_RENOVATION,EXPERT,OUTDOOR
119,Aircon installation,Install split-type aircon in bedroom. Very urgent - need ASAP.,"['HVAC', 'ventilation', 'cooling']",Marikina City,Philippines,4.8,47,6429,11794,9111,PHP,fixed,MODERATE_PROJECT,EXPERT,OUTDOOR
410,Storage unit move,Move contents of storage unit.,"['hauling', 'moving', 'relocation']",Taguig City,Philippines,4.0,30,1527,2174,1850,PHP,fixed,MINOR_REPAIR,ENTRY,INDOOR
476,Security gate,Install automatic security gate. Need experienced professional.,"['security', 'CCTV', 'alarm']",Valenzuela City,Philippines,3.6,5,1613,1959,1786,PHP,fixed,MINOR_REPAIR,ENTRY,BOTH
339,Grout cleaning,Deep clean and reseal grout lines. Price is negotiable.,"['tiles', 'refinishing', 'installation']",Malabon City,Philippines,4.0,33,2859,4700,3779,PHP,fixed,MINOR_REPAIR,ENTRY,INDOOR
117,Multi-split system install,Install multi-split system for 3 rooms. Already have the materials.,"['ventilation', 'HVAC']",Navotas City,Philippines,4.6,38,5810,8361,7085,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,BOTH
225,Repair window,"Window glass cracked, needs replacement. Please message for viewing.","['handyman', 'repair', 'maintenance']",Manila,Philippines,4.0,11,787,963,875,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,INDOOR
353,Tile installation,Install ceramic tiles in kitchen 10sqm. First time homeowner.,"['tiles', 'flooring', 'refinishing']",Quezon City,Philippines,3.5,1,74271,159962,117116,PHP,fixed,MAJOR_RENOVATION,EXPERT,OUTDOOR
198,Carport construction,Build steel carport structure. Please message for viewing.,"['steel', 'metal', 'fabrication']",Valenzuela City,Philippines,3.6,11,10396,20719,15557,PHP,fixed,MODERATE_PROJECT,INTERMEDIATE,OUTDOOR
126,Install ventilation fan,Install attic ventilation fans. First time homeowner.,"['ventilation', 'HVAC', 'aircon']",Pasay City,Philippines,4.5,2,1494,2537,2015,PHP,fixed,MINOR_REPAIR,ENTRY,INDOOR
443,Winter closing,Prepare pool for off season. Price is negotiable.,"['repair', 'maintenance', 'cleaning']",Muntinlupa City,Philippines,3.9,25,24238,46131,35184,PHP,fixed,MAJOR_RENOVATION,EXPERT,BOTH
401,Loading/unloading,Load and unload moving truck. Price is negotiable.,"['delivery', 'relocation', 'moving', 'hauling']",Malabon City,Philippines,4.6,17,6579,11347,8963,PHP,fixed,MODERATE_PROJECT,EXPERT,OUTDOOR
212,Metal roof frame,Weld steel frame for carport roof. Already have the materials.,"['fabrication', 'steel', 'welding', 'metal']",Pasay City,Philippines,4.5,24,1025,1730,1377,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,OUTDOOR
455,Tile cleaning,Clean pool tile line.,"['repair', 'pool']",Taguig City,Philippines,3.8,20,1392,2067,1729,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,INDOOR
262,Fix blender,Blender motor burnt out. Need to purchase materials.,"['appliance', 'electronics', 'maintenance', 'repair']",San Juan City,Philippines,4.8,13,2552,4146,3349,PHP,fixed,MODERATE_PROJECT,ENTRY,OUTDOOR
191,Foundation repair,Repair cracked foundation. Price is negotiable.,"['construction', 'masonry', 'tiles']",Muntinlupa City,Philippines,4.8,42,10645,16782,13713,PHP,fixed,MODERATE_PROJECT,ENTRY,OUTDOOR
359,Concrete polishing,Polish concrete floors for industrial look. Please message for viewing.,"['refinishing', 'tiles', 'installation']",Antipolo City,Philippines,3.5,35,2191,3590,2890,PHP,fixed,MINOR_REPAIR,ENTRY,OUTDOOR
252,Screen door repair,Screen door torn and frame bent. Can be scheduled for next week.,"['maintenance', 'repair', 'handyman']",Davao City,Philippines,3.6,31,996,1731,1363,PHP,fixed,MINOR_REPAIR,INTERMEDIATE,OUTDOOR
